Date,Player1,Player2,Winner,Note1,Note2
2013-10-01,罗睿,高中山,罗睿,第1届腾讯围棋大赛个人赛预选赛A组,第1轮
2013-10-01,鲍明昊,崔跃,鲍明昊,第1届腾讯围棋大赛个人赛预选赛A组,第1轮
2013-10-01,罗大为,佘铎淳,罗大为,第1届腾讯围棋大赛个人赛预选赛A组,第1轮
2013-10-01,朱薪圯,全勇,全勇,第1届腾讯围棋大赛个人赛预选赛A组,第1轮
2013-10-01,姚星,张馥育,姚星,第1届腾讯围棋大赛个人赛预选赛A组,第1轮
2013-10-01,何锐明,张镇圳,何锐明,第1届腾讯围棋大赛个人赛预选赛A组,第1轮
2013-10-01,李志辉,何一峰,何一峰,第1届腾讯围棋大赛个人赛预选赛A组,第1轮
2013-10-01,余琦,彭雄伟,彭雄伟,第1届腾讯围棋大赛个人赛预选赛A组,第1轮
2013-10-01,刘向平,李火荣,李火荣,第1届腾讯围棋大赛个人赛预选赛A组,第1轮
2013-10-01,常龙,刘若潇,刘若潇,第1届腾讯围棋大赛个人赛预选赛A组,第1轮
2013-10-01,邓志海,JEFFL,JEFFL,第1届腾讯围棋大赛个人赛预选赛B组,第1轮
2013-10-01,范君,林少章,范君,第1届腾讯围棋大赛个人赛预选赛B组,第1轮
2013-10-01,王剑,王泽华,王剑,第1届腾讯围棋大赛个人赛预选赛B组,第1轮
2013-10-01,刘旭,杨建北,刘旭,第1届腾讯围棋大赛个人赛预选赛B组,第1轮
2013-10-01,陈睿,朱磊,朱磊,第1届腾讯围棋大赛个人赛预选赛B组,第1轮
2013-10-01,杨宗强,李强,杨宗强,第1届腾讯围棋大赛个人赛预选赛B组,第1轮
2013-10-01,周海涛,熊晖,熊晖,第1届腾讯围棋大赛个人赛预选赛B组,第1轮
2013-10-01,罗赛燕,吴树根,吴树根,第1届腾讯围棋大赛个人赛预选赛B组,第1轮
2013-10-04,黄志力,谢明红,黄志力,第1届腾讯围棋大赛个人赛预选赛A组,第2轮
2013-10-04,罗睿,付博,罗睿,第1届腾讯围棋大赛个人赛预选赛A组,第2轮
2013-10-04,罗大为,鲍明昊,罗大为,第1届腾讯围棋大赛个人赛预选赛A组,第2轮
2013-10-04,朱薪圯,佘铎淳,佘铎淳,第1届腾讯围棋大赛个人赛预选赛A组,第2轮
2013-10-04,陈国明,全勇,陈国明,第1届腾讯围棋大赛个人赛预选赛A组,第2轮
2013-10-04,何锐明,姚星,姚星,第1届腾讯围棋大赛个人赛预选赛A组,第2轮
2013-10-04,张镇圳,张馥育,张馥育,第1届腾讯围棋大赛个人赛预选赛A组,第2轮
2013-10-04,余琦,李志辉,李志辉,第1届腾讯围棋大赛个人赛预选赛A组,第2轮
2013-10-04,彭雄伟,何一峰,彭雄伟,第1届腾讯围棋大赛个人赛预选赛A组,第2轮
2013-10-04,常龙,刘向平,刘向平,第1届腾讯围棋大赛个人赛预选赛A组,第2轮
2013-10-04,刘若潇,李火荣,刘若潇,第1届腾讯围棋大赛个人赛预选赛A组,第2轮
2013-10-04,JEFFL,黄晓军,JEFFL,第1届腾讯围棋大赛个人赛预选赛B组,第2轮
2013-10-04,林少章,邓志海,林少章,第1届腾讯围棋大赛个人赛预选赛B组,第2轮
2013-10-04,王剑,范君,王剑,第1届腾讯围棋大赛个人赛预选赛B组,第2轮
2013-10-04,杨建北,王泽华,杨建北,第1届腾讯围棋大赛个人赛预选赛B组,第2轮
2013-10-04,刘旭,廖灿,刘旭,第1届腾讯围棋大赛个人赛预选赛B组,第2轮
2013-10-04,李强,陈睿,李强,第1届腾讯围棋大赛个人赛预选赛B组,第2轮
2013-10-04,杨宗强,朱磊,杨宗强,第1届腾讯围棋大赛个人赛预选赛B组,第2轮
2013-10-04,罗赛燕,周海涛,罗赛燕,第1届腾讯围棋大赛个人赛预选赛B组,第2轮
2013-10-04,吴树根,熊晖,吴树根,第1届腾讯围棋大赛个人赛预选赛B组,第2轮
2013-10-04,洪志国,牛小彬,洪志国,第1届腾讯围棋大赛个人赛预选赛B组,第2轮
2013-10-08,黄志力,罗睿,罗睿,第1届腾讯围棋大赛个人赛预选赛A组,第3轮
2013-10-08,罗大为,陈国明,罗大为,第1届腾讯围棋大赛个人赛预选赛A组,第3轮
2013-10-08,朱薪圯,李火荣,李火荣,第1届腾讯围棋大赛个人赛预选赛A组,第3轮
2013-10-08,全勇,张馥育,张馥育,第1届腾讯围棋大赛个人赛预选赛A组,第3轮
2013-10-08,姚星,彭雄伟,彭雄伟,第1届腾讯围棋大赛个人赛预选赛A组,第3轮
2013-10-08,何锐明,李志辉,李志辉,第1届腾讯围棋大赛个人赛预选赛A组,第3轮
2013-10-08,何一峰,刘向平,何一峰,第1届腾讯围棋大赛个人赛预选赛A组,第3轮
2013-10-08,黄晓军,林少章,林少章,第1届腾讯围棋大赛个人赛预选赛B组,第3轮
2013-10-08,邓志海,牛小彬,牛小彬,第1届腾讯围棋大赛个人赛预选赛B组,第3轮
2013-10-08,JEFFL,王剑,王剑,第1届腾讯围棋大赛个人赛预选赛B组,第3轮
2013-10-08,廖灿,杨建北,杨建北,第1届腾讯围棋大赛个人赛预选赛B组,第3轮
2013-10-08,刘旭,杨宗强,杨宗强,第1届腾讯围棋大赛个人赛预选赛B组,第3轮
2013-10-08,朱磊,李强,李强,第1届腾讯围棋大赛个人赛预选赛B组,第3轮
2013-10-08,熊晖,罗赛燕,罗赛燕,第1届腾讯围棋大赛个人赛预选赛B组,第3轮
2013-10-08,吴树根,洪志国,洪志国,第1届腾讯围棋大赛个人赛预选赛B组,第3轮
2013-10-11,崔跃,黄志力,崔跃,第1届腾讯围棋大赛个人赛预选赛A组,第4轮
2013-10-11,罗大为,罗睿,罗大为,第1届腾讯围棋大赛个人赛预选赛A组,第4轮
2013-10-11,常龙,鲍明昊,鲍明昊,第1届腾讯围棋大赛个人赛预选赛A组,第4轮
2013-10-11,何锐明,全勇,全勇,第1届腾讯围棋大赛个人赛预选赛A组,第4轮
2013-10-11,姚星,陈国明,姚星,第1届腾讯围棋大赛个人赛预选赛A组,第4轮
2013-10-11,李志辉,张馥育,李志辉,第1届腾讯围棋大赛个人赛预选赛A组,第4轮
2013-10-11,李火荣,何一峰,何一峰,第1届腾讯围棋大赛个人赛预选赛A组,第4轮
2013-10-11,刘若潇,彭雄伟,彭雄伟,第1届腾讯围棋大赛个人赛预选赛A组,第4轮
2013-10-11,邓志海,黄晓军,黄晓军,第1届腾讯围棋大赛个人赛预选赛B组,第4轮
2013-10-11,熊晖,范君,熊晖,第1届腾讯围棋大赛个人赛预选赛B组,第4轮
2013-10-11,刘旭,林少章,刘旭,第1届腾讯围棋大赛个人赛预选赛B组,第4轮
2013-10-11,吴树根,王剑,王剑,第1届腾讯围棋大赛个人赛预选赛B组,第4轮
2013-10-11,陈睿,廖灿,陈睿,第1届腾讯围棋大赛个人赛预选赛B组,第4轮
2013-10-11,李强,杨建北,李强,第1届腾讯围棋大赛个人赛预选赛B组,第4轮
2013-10-11,周海涛,朱磊,朱磊,第1届腾讯围棋大赛个人赛预选赛B组,第4轮
2013-10-11,洪志国,杨宗强,洪志国,第1届腾讯围棋大赛个人赛预选赛B组,第4轮
2013-10-11,牛小彬,罗赛燕,罗赛燕,第1届腾讯围棋大赛个人赛预选赛B组,第4轮
2013-10-15,黄志力,全勇,全勇,第1届腾讯围棋大赛个人赛预选赛A组,第5轮
2013-10-15,罗睿,崔跃,罗睿,第1届腾讯围棋大赛个人赛预选赛A组,第5轮
2013-10-15,罗大为,彭雄伟,罗大为,第1届腾讯围棋大赛个人赛预选赛A组,第5轮
2013-10-15,陈国明,刘向平,陈国明,第1届腾讯围棋大赛个人赛预选赛A组,第5轮
2013-10-15,姚星,李志辉,姚星,第1届腾讯围棋大赛个人赛预选赛A组,第5轮
2013-10-15,张馥育,李火荣,张馥育,第1届腾讯围棋大赛个人赛预选赛A组,第5轮
2013-10-15,邓志海,周海涛,邓志海,第1届腾讯围棋大赛个人赛预选赛B组,第5轮
2013-10-15,林少章,杨建北,杨建北,第1届腾讯围棋大赛个人赛预选赛B组,第5轮
2013-10-15,王剑,洪志国,王剑,第1届腾讯围棋大赛个人赛预选赛B组,第5轮
2013-10-15,廖灿,朱磊,朱磊,第1届腾讯围棋大赛个人赛预选赛B组,第5轮
2013-10-15,刘旭,李强,李强,第1届腾讯围棋大赛个人赛预选赛B组,第5轮
2013-10-15,杨宗强,罗赛燕,杨宗强,第1届腾讯围棋大赛个人赛预选赛B组,第5轮
2013-10-18,张馥育,谢明红,张馥育,第1届腾讯围棋大赛个人赛预选赛A组,第6轮
2013-10-18,彭雄伟,罗睿,彭雄伟,第1届腾讯围棋大赛个人赛预选赛A组,第6轮
2013-10-18,刘向平,崔跃,刘向平,第1届腾讯围棋大赛个人赛预选赛A组,第6轮
2013-10-18,何一峰,罗大为,何一峰,第1届腾讯围棋大赛个人赛预选赛A组,第6轮
2013-10-18,姚星,全勇,姚星,第1届腾讯围棋大赛个人赛预选赛A组,第6轮
2013-10-18,李志辉,陈国明,李志辉,第1届腾讯围棋大赛个人赛预选赛A组,第6轮
2013-10-18,李火荣,何锐明,李火荣,第1届腾讯围棋大赛个人赛预选赛A组,第6轮
2013-10-18,刘旭,黄晓军,刘旭,第1届腾讯围棋大赛个人赛预选赛B组,第6轮
2013-10-18,廖灿,邓志海,廖灿,第1届腾讯围棋大赛个人赛预选赛B组,第6轮
2013-10-18,吴树根,范君,吴树根,第1届腾讯围棋大赛个人赛预选赛B组,第6轮
2013-10-18,杨宗强,王剑,王剑,第1届腾讯围棋大赛个人赛预选赛B组,第6轮
2013-10-18,熊晖,杨建北,熊晖,第1届腾讯围棋大赛个人赛预选赛B组,第6轮
2013-10-18,罗赛燕,朱磊,朱磊,第1届腾讯围棋大赛个人赛预选赛B组,第6轮
2013-10-18,洪志国,李强,李强,第1届腾讯围棋大赛个人赛预选赛B组,第6轮
2013-12-10,罗大为,姚星,罗大为,第1届腾讯围棋大赛个人赛现场赛,第1轮
2013-12-10,何一峰,王剑,王剑,第1届腾讯围棋大赛个人赛现场赛,第1轮
2013-12-10,刘旭,彭雄伟,彭雄伟,第1届腾讯围棋大赛个人赛现场赛,第1轮
2013-12-10,杨宗强,洪志国,杨宗强,第1届腾讯围棋大赛个人赛现场赛,第1轮
2013-12-11,王剑,罗大为,王剑,第1届腾讯围棋大赛个人赛现场赛,第2轮
2013-12-11,何一峰,姚星,何一峰,第1届腾讯围棋大赛个人赛现场赛,第2轮
2013-12-11,洪志国,刘旭,洪志国,第1届腾讯围棋大赛个人赛现场赛,第2轮
2013-12-11,杨宗强,彭雄伟,彭雄伟,第1届腾讯围棋大赛个人赛现场赛,第2轮
2013-12-12,罗大为,杨宗强,罗大为,第1届腾讯围棋大赛个人赛现场赛,第3轮
2013-12-12,何一峰,洪志国,洪志国,第1届腾讯围棋大赛个人赛现场赛,第3轮
2013-12-12,王剑,彭雄伟,彭雄伟,第1届腾讯围棋大赛个人赛现场赛,第3轮
2013-12-13,彭雄伟,罗大为,彭雄伟,第1届腾讯围棋大赛个人赛现场赛,第4轮
2013-12-13,刘旭,何一峰,何一峰,第1届腾讯围棋大赛个人赛现场赛,第4轮
2013-12-13,洪志国,王剑,洪志国,第1届腾讯围棋大赛个人赛现场赛,第4轮
2014-10-01,曾刘彬,黄辉,曾刘彬,第2届腾讯围棋大赛个人赛预选赛A组,第1轮
2014-10-01,职能线,罗睿,罗睿,第2届腾讯围棋大赛个人赛预选赛A组,第1轮
2014-10-01,罗大为,王东,罗大为,第2届腾讯围棋大赛个人赛预选赛A组,第1轮
2014-10-01,黄晓军,林映霞,黄晓军,第2届腾讯围棋大赛个人赛预选赛A组,第1轮
2014-10-01,JEFFL,刘博东,刘博东,第2届腾讯围棋大赛个人赛预选赛A组,第1轮
2014-10-01,卢山,龚婧婧,卢山,第2届腾讯围棋大赛个人赛预选赛A组,第1轮
2014-10-01,杨建北,段向阳,杨建北,第2届腾讯围棋大赛个人赛预选赛A组,第1轮
2014-10-01,廖少波,刘楠,廖少波,第2届腾讯围棋大赛个人赛预选赛A组,第1轮
2014-10-01,丁阳,李火荣,丁阳,第2届腾讯围棋大赛个人赛预选赛A组,第1轮
2014-10-01,唐铭鸿,张刚毅,张刚毅,第2届腾讯围棋大赛个人赛预选赛A组,第1轮
2014-10-01,刘建,洪志国,洪志国,第2届腾讯围棋大赛个人赛预选赛A组,第1轮
2014-10-01,黄志力,李杨,黄志力,第2届腾讯围棋大赛个人赛预选赛B组,第1轮
2014-10-01,白雪,张丁允,张丁允,第2届腾讯围棋大赛个人赛预选赛B组,第1轮
2014-10-01,薛远升,佘铎淳,薛远升,第2届腾讯围棋大赛个人赛预选赛B组,第1轮
